Date,Open,High,Low,Close,Adj Close,Volume
2023-02-23,120.000000,120.459999,118.400002,119.570000,118.858940,65600
2023-02-24,118.570000,119.150002,118.360001,118.980003,118.272446,113200
2023-02-27,120.099998,120.559998,118.970001,119.309998,118.600479,96300
2023-02-28,119.400002,119.620003,118.699997,118.809998,118.103447,89100
2023-03-01,118.760002,118.949997,117.739998,118.790001,118.083572,94200
2023-03-02,118.220001,120.180000,117.699997,120.050003,119.336098,129600
2023-03-03,120.459999,121.610001,119.820000,121.559998,120.837112,99000
2023-03-06,121.529999,121.949997,120.120003,120.489998,119.773460,81000
2023-03-07,120.680000,121.290001,119.849998,119.949997,119.236679,46100
2023-03-08,120.050003,120.099998,118.699997,119.570000,118.858940,88000
2023-03-09,120.070000,120.330002,117.000000,117.199997,116.503029,83100
2023-03-10,116.779999,116.940002,114.190002,115.370003,114.683914,166500
2023-03-13,113.750000,115.099998,112.769997,114.190002,113.510941,182400
2023-03-14,115.879997,116.910004,114.650002,115.580002,114.892677,77400
2023-03-15,113.589996,113.760002,110.889999,112.860001,112.188843,106500
2023-03-16,111.830002,114.800003,111.449997,114.209999,113.530815,144700
2023-03-17,113.800003,113.800003,111.110001,111.309998,110.648056,73800
2023-03-20,111.589996,113.419998,111.589996,112.629997,112.082054,204100
2023-03-21,114.169998,114.779999,113.860001,114.220001,113.664322,52700
2023-03-22,114.220001,114.559998,112.120003,112.120003,111.574532,54200
2023-03-23,112.830002,113.459999,111.129997,111.940002,111.395409,86100
2023-03-24,111.040001,113.120003,110.660004,112.940002,112.390549,85600
2023-03-27,113.839996,114.300003,113.139999,114.040001,113.485191,51200
2023-03-28,113.839996,114.879997,113.839996,114.610001,114.052422,53500
2023-03-29,115.529999,116.059998,115.040001,116.059998,115.495361,58100
2023-03-30,116.500000,116.680000,115.680000,116.230003,115.664536,53900
2023-03-31,116.699997,117.320000,116.360001,116.910004,116.341232,29400
2023-04-03,117.010002,118.430000,116.970001,118.050003,117.475693,47700
2023-04-04,118.089996,118.089996,116.080002,116.489998,115.923271,46700
2023-04-05,116.019997,116.360001,114.959999,115.220001,114.659454,33200
2023-04-06,115.269997,115.559998,114.419998,115.050003,114.490280,29400
2023-04-10,114.919998,116.739998,114.910004,116.739998,116.172050,51900
2023-04-11,117.300003,117.519997,116.849998,117.000000,116.430794,38500
2023-04-12,117.489998,117.669998,116.790001,117.010002,116.440742,34400
2023-04-13,117.540001,118.190002,116.860001,117.970001,117.396072,89600
2023-04-14,116.550003,116.550003,114.820000,115.449997,114.888329,105300
2023-04-17,115.720001,116.870003,115.690002,116.440002,115.873520,29700
2023-04-18,116.919998,117.629997,116.599998,117.430000,116.858696,53700
2023-04-19,117.180000,117.330002,116.709999,117.029999,116.460640,90300
2023-04-20,116.489998,116.930000,116.180000,116.650002,116.082497,58900
2023-04-21,116.839996,116.839996,115.550003,115.930000,115.365990,53100
2023-04-24,115.959999,116.010002,115.190002,115.709999,115.147064,39200
2023-04-25,115.239998,115.370003,114.029999,114.290001,113.733978,68900
2023-04-26,114.389999,114.389999,112.070000,112.250000,111.703903,53500
2023-04-27,112.730003,113.779999,112.190002,113.730003,113.176704,84900
2023-04-28,113.500000,114.519997,113.440002,114.519997,113.962852,39900
2023-05-01,114.410004,115.959999,114.370003,114.820000,114.261398,105500
2023-05-02,115.220001,115.370003,113.639999,115.000000,114.440521,190400
2023-05-03,114.860001,115.150002,113.550003,113.660004,113.107040,57100
2023-05-04,113.220001,113.220001,110.589996,111.760002,111.216278,47400
2023-05-05,112.650002,113.339996,112.300003,113.089996,112.539803,44500
2023-05-08,113.639999,114.089996,112.809998,113.070000,112.519913,53300
2023-05-09,113.239998,114.550003,113.129997,114.150002,113.594666,42800
2023-05-10,114.970001,114.980003,112.739998,113.709999,113.156792,49600
2023-05-11,113.290001,113.529999,112.610001,112.980003,112.430359,35000
2023-05-12,113.419998,113.830002,112.070000,112.650002,112.101959,26100
2023-05-15,113.010002,114.559998,113.010002,114.230003,113.674271,33300
2023-05-16,113.809998,114.410004,113.330002,113.510002,112.957771,31100
2023-05-17,114.510002,116.370003,114.510002,116.099998,115.535172,35900
2023-05-18,115.919998,116.750000,115.279999,116.660004,116.092445,30500
2023-05-19,117.269997,117.570000,115.379997,115.839996,115.276428,31000
2023-05-22,115.919998,117.690002,115.919998,117.430000,116.858696,29100
2023-05-23,116.980003,117.129997,115.190002,115.209999,114.649498,54500
2023-05-24,114.760002,114.760002,113.260002,113.639999,113.087135,32800
2023-05-25,113.809998,113.809998,111.480003,111.849998,111.305840,35800
2023-05-26,111.949997,112.370003,111.459999,111.690002,111.146622,39400
2023-05-30,111.919998,112.169998,111.220001,111.599998,111.057060,73700
2023-05-31,111.349998,111.709999,110.029999,110.779999,110.241051,54800
2023-06-01,111.180000,113.080002,111.000000,112.800003,112.251236,118300
2023-06-02,113.639999,115.750000,113.559998,115.300003,114.739075,115200
2023-06-05,115.629997,115.629997,114.139999,114.519997,113.962852,141500
2023-06-06,114.379997,116.309998,114.379997,116.160004,115.594879,70400
2023-06-07,116.370003,118.410004,116.370003,118.320000,117.744377,69400
2023-06-08,118.000000,119.279999,118.000000,119.150002,118.570335,55500
2023-06-09,119.269997,119.300003,118.110001,118.620003,118.042915,51200
2023-06-12,118.739998,119.830002,118.379997,119.660004,119.077850,95100
2023-06-13,119.860001,120.980003,119.370003,120.160004,119.575417,77500
2023-06-14,120.440002,120.449997,119.070000,119.440002,118.858925,80900
2023-06-15,119.269997,120.139999,118.970001,119.900002,119.316689,54400
2023-06-16,121.500000,122.500000,119.860001,120.430000,119.844101,67500
2023-06-20,120.199997,121.889999,120.199997,121.629997,121.182152,61200
2023-06-21,121.449997,122.959999,120.839996,122.639999,122.188431,51500
2023-06-22,121.379997,121.379997,120.019997,120.300003,119.857063,133000
2023-06-23,119.230003,119.230003,117.620003,117.830002,117.396149,40400
2023-06-26,117.709999,118.000000,117.010002,117.540001,117.107216,36900
2023-06-27,117.830002,119.489998,117.620003,119.370003,118.930481,62000
2023-06-28,119.970001,120.260002,119.589996,120.260002,119.817200,74100
2023-06-29,120.360001,122.129997,120.290001,121.419998,120.972923,38700
2023-06-30,122.129997,122.129997,121.139999,121.529999,121.082520,29800
2023-07-03,121.339996,121.650002,120.919998,121.550003,121.102455,32600
2023-07-05,121.129997,121.790001,120.510002,121.470001,121.022743,77100
2023-07-06,120.580002,121.080002,119.099998,119.970001,119.528275,41100
2023-07-07,120.139999,121.180000,119.699997,120.150002,119.707611,31800
2023-07-10,120.180000,121.639999,119.830002,121.639999,121.192123,54200
2023-07-11,121.879997,122.919998,121.320000,122.820000,122.367775,95800
2023-07-12,123.830002,123.970001,122.269997,122.540001,122.088806,61100
2023-07-13,122.750000,123.419998,122.500000,122.900002,122.447479,43800
2023-07-14,122.900002,122.900002,120.680000,121.080002,120.634186,37000
2023-07-17,121.080002,122.620003,120.809998,122.250000,121.799873,45600
2023-07-18,122.379997,123.500000,121.760002,122.559998,122.108734,49900
